"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2022-12-02","09:58","경기","안산시 상록구","반월로(북→남)","경기도 안산시상록구 건건동 335-7전","경기도 안산시상록구 건건동 931-2도","-3","49","20","매우좋음"
"2022-12-02","10:07","경기","안산시 상록구","각골로(북→남)","경기도 안산시상록구 본오동 1145-19도","경기도 안산시상록구 본오동 1171 도","-2","43","8","매우좋음"
"2022-12-02","10:12","경기","안산시 상록구","오목로(동→서)","경기도 안산시상록구 본오동 828-13도","경기도 안산시상록구 본오동 995도","-2","45","22","매우좋음"
"2022-12-02","10:27","경기","안산시 상록구","안산대학로(서→동)","경기도 안산시상록구 본오동 875-2도","경기도 안산시상록구 일동 634도","-2","44","22","매우좋음"
"2022-12-02","10:37","경기","안산시 상록구","도매시장로(북→남)","경기도 안산시상록구 일동 602-37도","경기도 안산시상록구 이동 568도","-2","43","155","나쁨"
"2022-12-02","10:53","경기","안산시 상록구","예술광장1로(서→동)","경기도 안산시상록구 성포동 679-11도","경기도 안산시상록구 성포동 679-11도","-1","42","22","매우좋음"
"2022-12-02","11:01","경기","안산시 상록구","월피로(남→북)","경기도 안산시상록구 월피동 536-46도","경기도 안산시상록구 월피동 536-1도","-1","42","17","매우좋음"
"2022-12-02","11:10","경기","안산시 상록구","안산천동로(북→남)","경기도 안산시상록구 월피동 536도","경기도 안산시상록구 이동 614-26도","-1","41","32","매우좋음"
"2022-12-02","11:21","경기","안산시 단원구","안산천서로(남→북)","경기도 안산시단원구 고잔동 554-2도","경기도 안산시단원구 고잔동 570-1도","-1","39","17","매우좋음"
"2022-12-02","11:26","경기","안산시 상록구","안산천서로(남→북)","경기도 안산시상록구 월피동 536-44도","경기도 안산시상록구 월피동 536-44도","0","40","31","매우좋음"
"2022-12-02","11:34","경기","안산시 단원구","예술대학로(북→남)","경기도 안산시단원구 고잔동 643-20도","경기도 안산시단원구 고잔동 554-2도","0","37","13","매우좋음"
"2022-12-02","11:45","경기","안산시 단원구","당곡로(남→북)","경기도 안산시단원구 고잔동 554-2도","경기도 안산시단원구 고잔동 678도","0","36","18","매우좋음"
"2022-12-02","11:57","경기","안산시 단원구","와동로(남→북)","경기도 안산시단원구 고잔동 630도","경기도 안산시단원구 와동 268도","0","37","26","매우좋음"
"2022-12-02","13:39","경기","안산시 단원구","와동공원로(북→남)","경기도 안산시단원구 와동 863도","경기도 안산시단원구 선부동 1158-12도","2","29","15","매우좋음"
"2022-12-02","13:47","경기","안산시 단원구","달미로(남→북)","경기도 안산시단원구 선부동 1158-12도","경기도 안산시단원구 선부동 1166-2 도","2","29","14","매우좋음"
"2022-12-02","13:57","경기","안산시 단원구","석수로(북→남)","경기도 안산시단원구 선부동 1166 도","경기도 안산시단원구 선부동 1158-12도","2","29","22","매우좋음"
"2022-12-02","14:03","경기","안산시 단원구","지곡로(동→서)","경기도 안산시단원구 선부동 1158-12도","경기도 안산시단원구 원곡동 993-1도","1","29","19","매우좋음"
"2022-12-02","14:18","경기","안산시 단원구","원선로(서→동)","경기도 안산시단원구 원곡동 993-7도","경기도 안산시단원구 선부동 955도","2","29","18","매우좋음"
"2022-12-02","14:26","경기","안산시 단원구","선부광장로(서→동)","경기도 안산시단원구 선부동 1075도","경기도 안산시단원구 선부동 1075도","2","31","9","매우좋음"
"2022-12-02","14:29","경기","안산시 단원구","선부광장1로(서→동)","경기도 안산시단원구 선부동 1158도","경기도 안산시단원구 선부동 1158도","2","31","12","매우좋음"
"2022-12-02","14:41","경기","안산시 단원구","선부광장남로(서→동)","경기도 안산시단원구 원곡동 940도","경기도 안산시단원구 선부동 1158-22도","2","32","14","매우좋음"
"2022-12-02","14:48","경기","안산시 단원구","원선1로(북→남)","경기도 안산시단원구 선부동 955도","경기도 안산시단원구 원곡동 993-7도","2","32","14","매우좋음"
"2022-12-02","15:02","경기","안산시 단원구","시흥대로(남→북)","경기도 안산시단원구 선부동 62-9도","경기도 안산시단원구 선부동 산20-2도","2","31","12","매우좋음"
"2022-12-02","11:21","경기","포천시","호국로(북→남)","경기도 포천시 영북면 자일리 339-3천","경기도 포천시 소흘읍 이동교리 산117-2 도","-3","40","20","매우좋음"
"2022-12-02","13:13","경기","포천시","송선로(북→남)","경기도 포천시 자작동 434-1 도","경기도 포천시 소흘읍 송우리 732 도","-1","33","85","좋음"
"2022-12-02","13:15","경기","포천시","태봉로(북→남)","경기도 포천시 소흘읍 송우리 731 도","경기도 포천시 소흘읍 이동교리 38-7 도","-1","31","25","매우좋음"
"2022-12-02","09:27","인천","미추홀구","방축로(서→동)","도화동 967-3","주안동 3-46","-3","35","27","매우좋음"
"2022-12-02","09:34","인천","미추홀구","염전로(동→서)","인천광역시 남동구 간석동 618-3도","인천광역시 미추홀구 도화동 981-1도","-3","35","64","좋음"
"2022-12-02","09:44","인천","미추홀구","송림로(동→서)","인천광역시 미추홀구 도화동 252-4 도","인천광역시 미추홀구 도화동 20-10 도","-3","34","32","매우좋음"
"2022-12-02","09:48","인천","미추홀구","장고개로(북→남)","인천광역시 미추홀구 도화동 974-1도","인천광역시 미추홀구 도화동 255도","-3","34","26","매우좋음"
"2022-12-02","09:55","인천","미추홀구","주안로(서→동)","인천광역시 미추홀구 도화동 546도","인천광역시 미추홀구 주안동 883도","-2","34","15","매우좋음"
"2022-12-02","10:05","인천","미추홀구","경인로(동→서)","인천광역시 미추홀구 주안동 957도","인천광역시 미추홀구 숭의동 162-14도","-2","33","15","매우좋음"
"2022-12-02","10:25","인천","미추홀구","독배로(북→남)","인천광역시 미추홀구 숭의동 162-14도","인천광역시 미추홀구 학익동 626-7 도","-2","31","97","좋음"
"2022-12-02","10:34","인천","미추홀구","소성로(서→동)","인천광역시 미추홀구 용현동 672-3 도","인천광역시 미추홀구 문학동 428도","-2","31","26","매우좋음"
"2022-12-02","11:03","인천","미추홀구","매소홀로(동→서)","인천광역시 미추홀구 관교동 561 도","인천광역시 미추홀구 용현동 627-567 도","-1","28","15","매우좋음"
