날짜,지점,강수량(mm)
20200717,이천,3.9
20200718,이천,0.0
20200719,이천,8.8
20200720,이천,2.1
20200721,이천,0.0
20200722,이천,76.1
20200723,이천,86.3
20200724,이천,5.4
20200725,이천,0.1
20200726,이천,0.0
20200727,이천,0.2
20200728,이천,3.3
20200729,이천,76.4
20200730,이천,63.3
20200731,이천,0.0
20200801,이천,28.3
20200802,이천,143.2
20200803,이천,67.2
20200804,이천,4.0
20200805,이천,8.9
20200806,이천,81.7
20200807,이천,2.2
20200808,이천,28.5
20200809,이천,39.4
20200810,이천,22.1
20200811,이천,24.3
20200812,이천,0.0
20200813,이천,0.0
20200814,이천,3.4
20200815,이천,68.5
20200816,이천,0.0
20200817,이천,0.0
20200818,이천,0.0
20200819,이천,0.0
20200820,이천,0.0
20200821,이천,0.0
20200822,이천,10.5
20200823,이천,0.0
20200824,이천,0.0
20200825,이천,0.0
20200826,이천,0.8
20200827,이천,16.6
20200828,이천,25.3
20200829,이천,19.1
20200830,이천,22.7
20200831,이천,0.0
20200901,이천,0.1
20200902,이천,29.6
20200903,이천,49.0
20200904,이천,2.4
20200905,이천,0.0
20200906,이천,18.0
20200907,이천,40.0
20200908,이천,0.2
20200909,이천,23.1
20200910,이천,0.0
20200911,이천,1.5
20200912,이천,16.6
20200913,이천,0.0
20200914,이천,0.0
20200915,이천,0.0
20200916,이천,1.8
20200917,이천,0.0
20200918,이천,0.0
20200919,이천,9.6
20200920,이천,0.0
20200921,이천,0.0
20200922,이천,0.0
20200923,이천,0.0
20200924,이천,0.0
20200925,이천,0.0
20200926,이천,0.0
20200927,이천,0.0
20200928,이천,0.0
20200929,이천,0.0
20200930,이천,0.0
20201001,이천,0.0
20201002,이천,0.0
20201003,이천,7.1
20201004,이천,0.0
20201005,이천,0.0
20201006,이천,0.0
20201007,이천,0.0
20201008,이천,0.0
20201009,이천,0.0
20201010,이천,0.0
20201011,이천,0.0
20201012,이천,0.0
20201013,이천,0.0
20201014,이천,0.0
20201015,이천,0.0
20201016,이천,0.0
20201017,이천,0.0
20201018,이천,0.0
20201019,이천,0.0
20201020,이천,0.0
20201021,이천,0.0
