날짜,지점,강수량(mm)
20200709,인천,0.0
20200710,인천,1.7
20200711,인천,0.0
20200712,인천,2.7
20200713,인천,50.6
20200714,인천,9.2
20200715,인천,0.0
20200716,인천,0.0
20200717,인천,0.0
20200718,인천,0.0
20200719,인천,22.0
20200720,인천,2.3
20200721,인천,0.0
20200722,인천,25.0
20200723,인천,101.8
20200724,인천,7.8
20200725,인천,0.0
20200726,인천,0.0
20200727,인천,4.9
20200728,인천,0.1
20200729,인천,13.8
20200730,인천,0.2
20200731,인천,0.0
20200801,인천,38.2
20200802,인천,21.6
20200803,인천,50.5
20200804,인천,1.7
20200805,인천,15.2
20200806,인천,59.4
20200807,인천,0.1
20200808,인천,18.2
20200809,인천,103.8
20200810,인천,20.1
20200811,인천,106.6
20200812,인천,0.1
20200813,인천,0.0
20200814,인천,0.1
20200815,인천,27.3
20200816,인천,0.0
20200817,인천,0.0
20200818,인천,0.0
20200819,인천,0.0
20200820,인천,0.0
20200821,인천,0.4
20200822,인천,0.4
20200823,인천,0.0
20200824,인천,0.0
20200825,인천,0.0
20200826,인천,0.5
20200827,인천,12.4
20200828,인천,8.7
20200829,인천,0.3
20200830,인천,0.8
20200831,인천,0.0
20200901,인천,0.0
20200902,인천,34.5
20200903,인천,39.0
20200904,인천,0.0
20200905,인천,0.0
20200906,인천,3.1
20200907,인천,62.7
20200908,인천,0.0
20200909,인천,2.2
20200910,인천,0.0
20200911,인천,0.0
20200912,인천,6.6
20200913,인천,0.0
20200914,인천,0.0
20200915,인천,0.0
20200916,인천,0.5
20200917,인천,0.0
20200918,인천,0.0
20200919,인천,19.1
20200920,인천,0.0
20200921,인천,0.0
20200922,인천,0.0
20200923,인천,0.0
20200924,인천,0.0
20200925,인천,0.0
20200926,인천,0.0
20200927,인천,0.0
20200928,인천,0.0
20200929,인천,0.0
20200930,인천,0.0
20201001,인천,0.0
20201002,인천,1.2
20201003,인천,0.1
20201004,인천,0.0
20201005,인천,0.0
20201006,인천,0.0
20201007,인천,0.0
20201008,인천,0.0
20201009,인천,0.0
20201010,인천,0.0
20201011,인천,0.0
20201012,인천,0.0
20201013,인천,0.0
20201014,인천,0.0
20201015,인천,0.0
20201016,인천,0.0
20201017,인천,0.2
20201018,인천,0.0
20201019,인천,0.0
20201020,인천,0.0
20201021,인천,0.0
20201022,인천,0.4
20201023,인천,0.0
20201024,인천,0.0
20201025,인천,0.0
20201026,인천,0.0
20201027,인천,0.0
20201028,인천,0.0
20201029,인천,0.0
20201030,인천,0.0
20201031,인천,0.0
20201101,인천,20.7
20201102,인천,0.6
20201103,인천,0.2
20201104,인천,0.0
20201105,인천,0.0
20201106,인천,0.0
20201107,인천,0.0
20201108,인천,0.0
20201109,인천,0.0
20201110,인천,0.0
20201111,인천,0.0
20201112,인천,0.0
20201113,인천,0.0
20201114,인천,0.0
20201115,인천,0.0
20201116,인천,0.0
20201117,인천,0.8
20201118,인천,8.5
20201119,인천,47.7
20201120,인천,0.0
20201121,인천,0.9
20201122,인천,2.2
20201123,인천,0.0
20201124,인천,0.0
20201125,인천,0.0
20201126,인천,0.0
20201127,인천,0.0
20201128,인천,0.0
20201129,인천,0.0
20201130,인천,0.0
20201201,인천,0.0
20201202,인천,0.0
20201203,인천,0.0
20201204,인천,0.0
20201205,인천,0.0
20201206,인천,0.0
20201207,인천,0.0
20201208,인천,0.0
20201209,인천,0.0
