ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,도봉구,1.3,87.0,20.0,22.0
2024-01-01,도봉구,0.5,100.0,12.0,13.0
2024-01-01,도봉구,-5.8,100.0,23.0,25.0
2024-01-01,도봉구,0.8,100.0,14.0,15.0
2024-01-01,도봉구,0.6,92.0,15.0,16.0
2024-01-01,도봉구,1.6,100.0,11.0,12.0
2024-01-01,도봉구,-0.6,100.0,11.0,12.0
2024-01-01,도봉구,0.2,85.0,21.0,23.0
2024-01-01,도봉구,-0.1,100.0,16.0,17.0
2024-01-01,도봉구,-40.0,100.0,19.0,20.0
2024-01-01,도봉구,1.6,84.0,4.0,5.0
2024-01-01,도봉구,2.4,81.0,18.0,19.0
2024-01-01,도봉구,1.0,86.0,7.0,7.0
2024-01-01,도봉구,2.0,85.0,1.0,2.0
2024-01-01,도봉구,3.0,80.0,24.0,26.0
2024-01-01,도봉구,1.9,83.0,12.0,13.0
2024-01-01,도봉구,1.2,84.0,6.0,7.0
2024-01-01,도봉구,0.0,84.0,1.0,2.0
2024-01-01,도봉구,2.7,80.0,12.0,13.0
2024-01-01,도봉구,-0.5,89.0,10.0,11.0
2024-01-01,도봉구,1.3,87.0,15.0,16.0
2024-01-01,도봉구,1.7,88.0,18.0,20.0
2024-01-01,도봉구,0.8,86.0,12.0,13.0
2024-01-01,도봉구,-0.3,89.0,10.0,11.0
2024-01-01,도봉구,1.7,86.0,1.0,2.0
2024-01-01,도봉구,2.2,83.0,17.0,18.0
2024-01-01,도봉구,1.2,86.0,1.0,2.0
2024-01-01,도봉구,2.7,81.0,5.0,6.0
2024-01-01,도봉구,0.5,88.0,9.0,10.0
2024-01-01,도봉구,2.1,82.0,10.0,11.0
2024-01-01,도봉구,1.0,88.0,9.0,10.0
2024-01-01,도봉구,-0.1,85.0,1.0,2.0
2024-01-01,도봉구,1.8,85.0,6.0,7.0
2024-01-01,도봉구,0.9,100.0,2.0,3.0
2024-01-01,도봉구,-4.2,100.0,16.0,17.0
2024-01-01,도봉구,1.3,100.0,15.0,16.0
2024-01-01,도봉구,-0.7,100.0,28.0,31.0
2024-01-01,도봉구,1.2,100.0,21.0,23.0
2024-01-01,도봉구,-40.0,92.0,2.0,3.0
2024-01-01,도봉구,-5.3,100.0,23.0,25.0
2024-01-01,도봉구,0.7,100.0,12.0,13.0
2024-01-01,도봉구,2.0,86.0,20.0,22.0
2024-01-01,도봉구,0.3,100.0,16.0,17.0
2024-01-01,도봉구,0.6,85.0,20.0,21.0
2024-01-01,도봉구,-0.6,100.0,11.0,12.0
2024-01-01,도봉구,-40.0,100.0,17.0,18.0
2024-01-01,도봉구,1.5,100.0,15.0,16.0
2024-01-01,도봉구,1.7,100.0,11.0,12.0
2024-01-01,도봉구,0.4,100.0,17.0,18.0
2024-01-01,도봉구,0.7,92.0,14.0,15.0
2024-01-01,도봉구,0.6,89.0,12.0,13.0
2024-01-01,도봉구,1.8,84.0,6.0,7.0
2024-01-01,도봉구,1.5,85.0,13.0,14.0
2024-01-01,도봉구,1.7,85.0,8.0,8.0
2024-01-01,도봉구,3.4,79.0,38.0,42.0
2024-01-01,도봉구,1.2,87.0,14.0,15.0
2024-01-01,도봉구,2.2,83.0,4.0,5.0
2024-01-01,도봉구,2.1,83.0,12.0,13.0
2024-01-01,도봉구,3.1,78.0,13.0,14.0
2024-01-01,도봉구,0.6,86.0,1.0,2.0
2024-01-01,도봉구,0.9,84.0,1.0,2.0
2024-01-01,도봉구,1.8,88.0,24.0,27.0
2024-01-01,도봉구,1.2,87.0,8.0,9.0
2024-01-01,도봉구,2.5,81.0,19.0,20.0
2024-01-01,도봉구,2.0,84.0,1.0,2.0
2024-01-01,도봉구,2.6,82.0,5.0,6.0
2024-01-01,도봉구,1.9,85.0,6.0,7.0
2024-01-01,도봉구,1.1,87.0,1.0,2.0
2024-01-01,도봉구,1.0,87.0,9.0,10.0
2024-01-01,도봉구,0.3,89.0,11.0,12.0
2024-01-01,도봉구,2.2,83.0,19.0,20.0
2024-01-01,도봉구,1.7,87.0,1.0,2.0
2024-01-01,도봉구,2.4,82.0,10.0,11.0
2024-01-01,도봉구,0.9,85.0,18.0,19.0
2024-01-01,도봉구,0.4,100.0,16.0,17.0
2024-01-01,도봉구,-0.3,100.0,32.0,34.0
2024-01-01,도봉구,0.8,100.0,2.0,3.0
2024-01-01,도봉구,1.3,100.0,15.0,16.0
2024-01-01,도봉구,1.0,100.0,21.0,23.0
2024-01-01,도봉구,0.6,100.0,11.0,12.0
2024-01-01,도봉구,-40.0,94.0,1.0,2.0
2024-01-01,도봉구,-4.0,100.0,19.0,20.0
2024-01-01,도봉구,0.6,92.0,13.0,14.0
2024-01-01,도봉구,0.3,100.0,17.0,18.0
2024-01-01,도봉구,2.4,84.0,21.0,23.0
2024-01-01,도봉구,-40.0,100.0,18.0,20.0
2024-01-01,도봉구,1.8,100.0,16.0,17.0
2024-01-01,도봉구,-5.2,100.0,22.0,24.0
2024-01-01,도봉구,-0.3,100.0,10.0,11.0
2024-01-01,도봉구,1.5,100.0,10.0,11.0
2024-01-01,도봉구,3.0,79.0,12.0,13.0
2024-01-01,도봉구,2.6,82.0,16.0,17.0
2024-01-01,도봉구,1.2,84.0,1.0,2.0
2024-01-01,도봉구,2.4,82.0,5.0,6.0
2024-01-01,도봉구,2.0,83.0,12.0,13.0
2024-01-01,도봉구,3.8,78.0,93.0,103.0
2024-01-01,도봉구,1.5,85.0,14.0,15.0
2024-01-01,도봉구,2.3,82.0,18.0,19.0
2024-01-01,도봉구,1.9,85.0,1.0,2.0
2024-01-01,도봉구,1.3,87.0,8.0,9.0
2024-01-01,도봉구,2.0,85.0,7.0,7.0
2024-01-01,도봉구,1.4,87.0,13.0,14.0
2024-01-01,도봉구,1.8,85.0,7.0,8.0
2024-01-01,도봉구,0.7,89.0,11.0,12.0
2024-01-01,도봉구,1.3,85.0,1.0,2.0
2024-01-01,도봉구,0.8,89.0,12.0,13.0
2024-01-01,도봉구,2.3,82.0,8.0,9.0
2024-01-01,도봉구,1.4,86.0,1.0,2.0
2024-01-01,도봉구,2.0,84.0,5.0,6.0
2024-01-01,도봉구,2.0,86.0,1.0,2.0
2024-01-01,도봉구,2.3,83.0,4.0,5.0
2024-01-01,도봉구,1.7,89.0,20.0,21.0
2024-01-01,도봉구,1.5,86.0,8.0,9.0
2024-01-01,도봉구,1.3,100.0,11.0,12.0
2024-01-01,도봉구,1.4,100.0,21.0,23.0
2024-01-01,도봉구,-5.1,100.0,22.0,24.0
2024-01-01,도봉구,-40.0,100.0,18.0,19.0
2024-01-01,도봉구,1.1,100.0,2.0,3.0
2024-01-01,도봉구,1.7,100.0,15.0,16.0
2024-01-01,도봉구,-0.3,100.0,31.0,34.0
2024-01-01,도봉구,-3.6,100.0,17.0,18.0
2024-01-01,도봉구,2.1,100.0,17.0,18.0
2024-01-01,도봉구,-40.0,91.0,2.0,3.0
2024-01-01,도봉구,2.1,86.0,20.0,22.0
2024-01-01,도봉구,2.3,100.0,9.0,10.0
2024-01-01,도봉구,0.8,85.0,18.0,19.0
2024-01-01,도봉구,0.0,100.0,11.0,12.0
2024-01-01,도봉구,1.2,91.0,13.0,14.0
2024-01-01,도봉구,0.7,100.0,16.0,17.0
2024-01-01,도봉구,0.8,100.0,17.0,18.0
2024-01-01,도봉구,2.1,84.0,1.0,2.0
2024-01-01,도봉구,4.0,77.0,13.0,14.0
2024-01-01,도봉구,2.2,84.0,13.0,14.0
2024-01-01,도봉구,2.2,85.0,8.0,8.0
2024-01-01,도봉구,1.3,85.0,1.0,2.0
2024-01-01,도봉구,1.8,85.0,14.0,15.0
2024-01-01,도봉구,4.4,77.0,6.0,7.0
2024-01-01,도봉구,1.8,86.0,7.0,8.0
2024-01-01,도봉구,2.6,82.0,12.0,13.0
2024-01-01,도봉구,2.8,82.0,5.0,6.0
2024-01-01,도봉구,2.5,83.0,5.0,6.0
2024-01-01,도봉구,2.3,87.0,13.0,14.0
2024-01-01,도봉구,2.9,80.0,9.0,10.0
2024-01-01,도봉구,1.3,86.0,8.0,9.0
2024-01-01,도봉구,1.5,85.0,1.0,2.0
2024-01-01,도봉구,2.7,83.0,17.0,18.0
2024-01-01,도봉구,0.8,90.0,12.0,13.0
2024-01-01,도봉구,1.0,89.0,12.0,13.0
2024-01-01,도봉구,2.7,82.0,18.0,19.0
2024-01-01,도봉구,2.6,84.0,1.0,2.0
2024-01-01,도봉구,3.3,80.0,5.0,6.0
2024-01-01,도봉구,2.3,85.0,1.0,2.0
2024-01-01,도봉구,1.6,87.0,8.0,9.0
2024-01-01,도봉구,1.9,100.0,12.0,13.0
2024-01-01,도봉구,1.6,100.0,2.0,3.0
