ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,동대문구,2.2,83.0,9.0,10.0
2024-01-01,동대문구,1.8,86.0,27.0,29.0
2024-01-01,동대문구,1.8,86.0,24.0,26.0
2024-01-01,동대문구,1.4,88.0,25.0,27.0
2024-01-01,동대문구,2.5,84.0,14.0,15.0
2024-01-01,동대문구,2.1,83.0,14.0,15.0
2024-01-01,동대문구,0.9,92.0,0.0,1000.0
2024-01-01,동대문구,1.6,87.0,1.0,2.0
2024-01-01,동대문구,0.8,87.0,29.0,32.0
2024-01-01,동대문구,1.1,91.0,29.0,32.0
2024-01-01,동대문구,2.3,86.0,1.0,2.0
2024-01-01,동대문구,1.9,85.0,19.0,21.0
2024-01-01,동대문구,1.1,91.0,17.0,18.0
2024-01-01,동대문구,-1.3,100.0,22.0,24.0
2024-01-01,동대문구,1.5,91.0,17.0,18.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,1.8,87.0,14.0,15.0
2024-01-01,동대문구,1.2,100.0,38.0,41.0
2024-01-01,동대문구,1.8,91.0,15.0,16.0
2024-01-01,동대문구,2.4,81.0,15.0,16.0
2024-01-01,동대문구,2.4,83.0,20.0,22.0
2024-01-01,동대문구,2.0,88.0,15.0,16.0
2024-01-01,동대문구,2.1,86.0,23.0,25.0
2024-01-01,동대문구,2.5,85.0,1.0,2.0
2024-01-01,동대문구,1.9,87.0,15.0,16.0
2024-01-01,동대문구,2.4,83.0,21.0,23.0
2024-01-01,동대문구,2.8,83.0,14.0,15.0
2024-01-01,동대문구,1.6,89.0,16.0,17.0
2024-01-01,동대문구,2.8,84.0,24.0,26.0
2024-01-01,동대문구,2.5,82.0,10.0,11.0
2024-01-01,동대문구,1.6,90.0,0.0,1000.0
2024-01-01,동대문구,2.9,82.0,19.0,20.0
2024-01-01,동대문구,2.3,85.0,1.0,2.0
2024-01-01,동대문구,2.2,86.0,27.0,30.0
2024-01-01,동대문구,1.6,90.0,18.0,19.0
2024-01-01,동대문구,2.3,83.0,15.0,16.0
2024-01-01,동대문구,2.5,86.0,15.0,16.0
2024-01-01,동대문구,1.3,91.0,31.0,34.0
2024-01-01,동대문구,2.2,86.0,27.0,29.0
2024-01-01,동대문구,-0.8,100.0,22.0,24.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,1.9,100.0,39.0,43.0
2024-01-01,동대문구,0.6,87.0,31.0,34.0
2024-01-01,동대문구,3.4,81.0,26.0,28.0
