날짜,도로명,평균속도예측
2024-07-31,가마산로,23.312128855690894
2024-08-31,가마산로,23.354082826083012
2024-09-30,가마산로,23.39468344259151
2023-06-01,가산디지털1로,21.7438516295
2023-07-01,가산디지털1로,21.74170148749031
2023-08-01,가산디지털1로,21.739479675263734
2023-09-01,가산디지털1로,21.737257863840412
2023-10-01,가산디지털1로,21.735107724691577
2023-11-01,가산디지털1로,21.732885912677823
2023-12-01,가산디지털1로,21.730872261143155
2024-01-01,가산디지털1로,21.729359076925316
2024-02-01,가산디지털1로,21.845049882723217
2024-03-01,가산디지털1로,21.953276765566407
2024-04-01,가산디지털1로,22.068967571364304
2024-04-30,가산디지털1로,22.177194454207502
2024-05-31,가산디지털1로,22.292885260005402
2024-06-30,가산디지털1로,22.404844104325946
2024-07-31,가산디지털1로,22.520534910123843
2024-08-31,가산디지털1로,22.636225715921736
2024-09-30,가산디지털1로,22.748184560242283
2023-06-01,가산디지털2로,19.8449952498
2023-07-01,가산디지털2로,19.858221372420196
2023-08-01,가산디지털2로,19.871888363056645
2023-09-01,가산디지털2로,19.885554927078044
2023-10-01,가산디지털2로,19.898780633205362
2023-11-01,가산디지털2로,19.91244719430881
2023-12-01,가산디지털2로,19.957914758054276
2024-01-01,가산디지털2로,20.00605233906445
2024-02-01,가산디지털2로,20.096075814639214
2024-03-01,가산디지털2로,20.18029132404786
2024-04-01,가산디지털2로,20.27031479962263
2024-04-30,가산디지털2로,20.354530309031276
2024-05-31,가산디지털2로,20.44455378460604
2024-06-30,가산디지털2로,20.531673277097745
2024-07-31,가산디지털2로,20.621696752672513
2024-08-31,가산디지털2로,20.71172022824727
2024-09-30,가산디지털2로,20.79883972073898
2023-06-01,가산로,16.522041515
2023-07-01,가산로,16.596344783304918
2023-08-01,가산로,16.67312482732928
2023-09-01,가산로,16.74990518342721
2023-10-01,가산로,16.82421688479096
2023-11-01,가산로,16.90100564534781
2023-12-01,가산로,16.975317351793144
2024-01-01,가산로,17.052106111439542
2024-02-01,가산로,17.128894873219085
2024-03-01,가산로,17.200729521335436
2024-04-01,가산로,17.27751828311498
2024-04-30,가산로,17.349352931231326
2024-05-31,가산로,17.426141693010873
2024-06-30,가산로,17.500453397958818
2024-07-31,가산로,17.57724215973836
2024-08-31,가산로,17.654030921517908
2024-09-30,가산로,17.728342626465853
2023-06-01,가양대로,27.955807149
2023-07-01,가양대로,27.918247564795085
2023-08-01,가양대로,27.87943599629768
2023-09-01,가양대로,27.840624667783672
2023-10-01,가양대로,27.810852822394896
2023-11-01,가양대로,27.781673022835136
2023-12-01,가양대로,27.878559030804276
2024-01-01,가양대로,27.978674571403943
2024-02-01,가양대로,28.0787901068984
2024-03-01,가양대로,28.17244657558677
2024-04-01,가양대로,28.27256211108123
2024-04-30,가양대로,28.366218579769594
2024-05-31,가양대로,28.46633411526405
2024-06-30,가양대로,28.563220117355463
2024-07-31,가양대로,28.663335652849923
2024-08-31,가양대로,28.763451188344384
2024-09-30,가양대로,28.860337190435793
2023-06-01,가재울미래로,22.147149828
2023-07-01,가재울미래로,21.758698869836067
2023-08-01,가재울미래로,21.35729959158517
2023-09-01,가재울미래로,20.955900366984213
2023-10-01,가재울미래로,20.56744949562029
2023-11-01,가재울미래로,20.166437167636232
2023-12-01,가재울미래로,19.778561137109982
2024-01-01,가재울미래로,19.377755917856327
2024-02-01,가재울미래로,18.97695073874519
2024-03-01,가재울미래로,18.602003958286392
2024-04-01,가재울미래로,18.201198779175257
2024-04-30,가재울미래로,17.82625199871645
2024-05-31,가재울미래로,17.42544681960532
2024-06-30,가재울미래로,17.037570839820347
2024-07-31,가재울미래로,16.636765660709216
2024-08-31,가재울미래로,16.235960481598077
2024-09-30,가재울미래로,15.84808450181311
2023-06-01,가좌로,21.634168767000002
2023-07-01,가좌로,21.692129313523274
2023-08-01,가좌로,21.75202187815106
2023-09-01,가좌로,21.81191444231337
2023-10-01,가좌로,21.86987498821873
2023-11-01,가좌로,21.92976755282418
2023-12-01,가좌로,21.987728099379744
2024-01-01,가좌로,22.047620664469022
2024-02-01,가좌로,22.107513229290344
2024-03-01,가좌로,22.16354175810959
2024-04-01,가좌로,22.22343432339914
2024-04-30,가좌로,22.279462852218394
2024-05-31,가좌로,22.33935541750794
2024-06-30,가좌로,22.39731596456234
2024-07-31,가좌로,22.457208529851883
2024-08-31,가좌로,22.51710109514143
2024-09-30,가좌로,22.57506164219583
2023-06-01,갈현로,18.442711689
2023-07-01,갈현로,18.431586679038034
2023-08-01,갈현로,18.420090834587853
2023-09-01,갈현로,18.408594990400143
2023-10-01,갈현로,18.397469979955513
2023-11-01,갈현로,18.38597413595085
2023-12-01,갈현로,18.40015387661064
2024-01-01,갈현로,18.41572034399
2024-02-01,갈현로,18.431286811531542
2024-03-01,갈현로,18.4458489908446
2024-04-01,갈현로,18.46141545838614
2024-04-30,갈현로,18.475977637699195
2024-05-31,갈현로,18.491544105240738
2024-06-30,갈현로,18.506608428668038
2024-07-31,갈현로,18.52217489620958
2024-08-31,갈현로,18.53774136375112
2024-09-30,갈현로,18.55280568717842
