측정일,지역,지역 상세,도로명,평균 농도
2022-04-26,경기,평택시,포승공단로,326
2022-04-26,인천,동구,화도진로,239
2022-04-27,서울,중랑구,중랑천로,256
2022-04-27,서울,동대문구,이문로,337
2022-04-27,서울,중랑구,겸재로,206
2022-04-27,서울,중랑구,봉우재로,252
2022-04-27,서울,중랑구,망우로,201
2022-04-27,서울,중랑구,숙선옹주로,429
2022-04-27,서울,중랑구,사가정로,223
2022-04-27,서울,중랑구,면목천로,553
2022-04-28,인천,미추홀구,염전로,349
2022-04-28,인천,미추홀구,장고개로,201
2022-04-28,인천,미추홀구,독배로,441
2022-04-28,인천,서구,북항로207번길,280
2022-04-28,인천,서구,북항로,258
2022-04-28,인천,서구,드림로,1345
2022-04-28,인천,서구,마중로,714
2022-04-28,인천,미추홀구,인하로,466
2022-04-28,인천,미추홀구,인주대로,235
2022-04-28,인천,서구,도담로,582
2022-04-28,인천,서구,한들로,368
2022-04-28,경기,의왕시,복지로,609
2022-04-28,경기,의왕시,시청로,594
2022-05-02,인천,서구,석남로,1493
2022-05-02,경기,시흥시,월곶중앙로14번길,245
2022-05-03,경기,고양시 덕양구,신원1로,350
2022-05-04,인천,중구,축항대로118번길,279
2022-05-06,경기,수원시 팔달구,수성로,966
2022-05-09,경기,수원시 팔달구,장다리로,272
2022-05-09,경기,수원시 권선구,장다리로,1035
2022-05-09,경기,수원시 권선구,덕영대로1190번길,302
2022-05-09,경기,수원시 권선구,덕영대로1246번길,349
2022-05-09,경기,양주시,옥정동로,291
2022-05-10,경기,수원시 팔달구,권중로,233
2022-05-10,경기,수원시 팔달구,정조로,291
2022-05-10,경기,동두천시,상패로,281
2022-05-10,경기,수원시 장안구,상률로,214
2022-05-11,서울,강북구,노해로,286
2022-05-11,경기,안산시 단원구,시화로,984
2022-05-12,인천,강화군,길상로,1286
2022-05-12,서울,강동구,올림픽로,220
2022-05-12,경기,김포시,마송1로,984
2022-05-12,경기,김포시,양곡4로,372
2022-05-12,경기,김포시,황금1로80번길,370
2022-05-12,경기,김포시,황금로,354
2022-05-13,경기,광주시,경충대로,582
2022-05-13,경기,김포시,사우중로,203
2022-05-13,경기,김포시,돌문로,1031
2022-05-16,전남,순천시,충효로,358
2022-05-16,전남,순천시,팔마로,208
2022-05-16,전남,순천시,강남로,206
2022-05-16,전남,순천시,장명로,281
2022-05-17,경남,진주시,공단로,1146
2022-05-17,경남,진주시,새평거로,530
2022-05-17,경남,진주시,평거로,434
2022-05-17,경남,고성군,송학로,1733
2022-05-18,전북,군산시,임해로,317
2022-05-18,부산,강서구,녹산산업북로,226
2022-05-18,경남,창원시 진해구,신항배후로,224
2022-05-19,경남,양산시,증산역로,208
2022-05-23,경기,광명시,금오로,512
2022-05-24,인천,서구,북항로207번길,438
2022-05-24,경기,평택시,산단로,775
2022-05-24,경기,평택시,지산천로,237
2022-05-24,인천,서구,한들로,208
2022-05-24,인천,서구,드림로,958
2022-05-24,인천,서구,마중로,248
2022-05-24,인천,서구,도담로,461
2022-05-24,경기,고양시일산동구,월드고양로,226
2022-05-24,경기,평택시,안현로서6길,345
2022-05-24,경기,평택시,평택항로156번길,245
2022-05-25,인천,서구,석남로,422
2022-05-25,경기,고양시 덕양구,신원1로,204
2022-05-26,인천,서구,청라사파이어로,202
2022-05-27,경기,부천시,오정로,1206
2022-05-27,경기,파주시,숲속노을로,209
2022-05-31,인천,미추홀구,독배로,528
2022-05-31,경기,군포시,송부로,220
2022-05-31,인천,미추홀구,인하로,303
2022-06-02,경기,수원시 권선구,장다리로,214
2022-06-03,경기,용인시 기흥구,흥덕1로,224
2022-06-08,경기,수원시 팔달구,수성로,942
2022-06-10,인천,강화군,강화대로,285
2022-06-10,인천,강화군,길상로,279
2022-06-10,경기,김포시,마송1로,1155
2022-06-10,경기,김포시,마송로,785
2022-06-13,서울,도봉구,도당로,229
2022-06-13,서울,서초구,바우뫼로,204
2022-06-16,서울,강북구,삼양로,228
2022-06-16,서울,성북구,보국문로,396
2022-06-16,서울,성북구,한천로,389
2022-06-16,경기,의왕시,덕장로,359
2022-06-16,경기,의왕시,내손로,222
2022-06-20,경기,평택시,지산천로,606
2022-06-20,경기,평택시,산단로,1181
2022-06-20,경기,평택시,안현로서6길,289
2022-06-21,인천,서구,북항로207번길,592
2022-06-21,인천,서구,북항로,206
2022-06-21,경기,의왕시,복지로,568
2022-06-21,인천,서구,드림로,2045
2022-06-21,인천,서구,도담로,503
2022-06-21,인천,서구,봉수대로,220
2022-06-22,인천,서구,석남로,292
2022-06-22,인천,서구,길주로,359
2022-06-22,인천,서구,중봉대로393번길,299
2022-06-22,경기,시흥시,협력로,260
2022-07-01,경기,수원시 장안구,수일로,331
2022-07-01,경기,수원시 장안구,광교산로,1411
2022-07-04,경기,광주시,경안로,259
2022-07-04,경기,수원시 팔달구,수성로,286
2022-07-04,경기,수원시 권선구,수인로,234
2022-07-05,경기,김포시,양곡4로,229
2022-07-05,경기,김포시,양곡2로,207
2022-07-05,경기,김포시,김포한강7로,274
2022-07-06,경기,안성시,제4산단로,220
2022-07-07,경기,광명시,덕안로,261
2022-07-07,경기,광명시,금오로,1839
2022-07-12,경기,남양주시,경춘북로,275
2022-07-12,경기,과천시,교육원로,220
2022-07-14,경기,의왕시,복지로,215
2022-07-15,경기,평택시,산단로,1215
2022-07-15,경기,군포시,호수로,236
2022-07-18,경기,포천시,용정경제로,327
2022-07-19,대구,북구,검단공단로,601
2022-07-19,대구,동구,이노밸리로,513
2022-07-19,대구,서구,문화로,622
2022-07-19,대구,북구,칠성남로,654
2022-07-19,대구,중구,달성로,778
2022-07-19,대구,중구,태평로,853
2022-07-19,충남,청양군,칠갑산로,210
2022-07-19,대구,중구,동덕로,1503
2022-07-19,대구,달서구,조암로,287
2022-07-22,경기,부천시,오정로,301
2022-07-26,경남,창원시 마산합포구,천하장사로,250
2022-07-27,경기,시흥시,협력로,442
2022-08-04,인천,서구,드림로,2696
2022-08-04,인천,서구,도담로,484
2022-08-04,경기,고양시 덕양구,화랑로,207
2022-08-05,인천,강화군,길상로,292
2022-08-05,경기,김포시,마송1로,344
2022-08-05,경기,김포시,마송로,212
2022-08-05,경기,김포시,양곡4로,342
2022-08-05,인천,서구,석남로,253
2022-08-05,경기,김포시,황금로,293
2022-08-10,경기,김포시,사우중로,311
2022-08-10,경기,김포시,돌문로,224
2022-08-12,경기,고양시 일산동구,월드고양로,350
2022-08-16,경기,평택시,산단로,209
2022-08-17,경기,의왕시,복지로,392
2022-08-17,경기,평택시,포승공단로,389
2022-08-18,서울,성북구,돌곶이로,782
2022-08-18,서울,성북구,오패산로,1310
2022-08-18,경기,과천시,교육원로,2039
2022-08-19,서울,관악구,낙성대로,504
2022-08-23,부산,부산진구,전포대로,268
2022-08-23,경남,고성군,송학로,307
2022-08-24,충남,홍성군,신대로,302
2022-08-24,충남,홍성군,의향로,361
2022-08-24,울산,북구,효암로,333
2022-08-24,경남,창원시 의창구,원이대로,297
2022-08-24,충남,청양군,문화예술로,240
2022-08-25,경남,창원시 진해구,신항배후로,1545
2022-08-31,경기,안성시,남파로,426
2022-08-31,경기,안성시,청원로,247
2022-09-01,경기,광명시,시청로,793
2022-09-01,경기,광명시,성채로,242
2022-09-01,경기,광명시,금오로,2301
